no,phys
I feel pale all the time,phys
"yes, in my mower back",phys
"yes, I can't breathe properly",phys
inspiring air is painful,phys
"yes, my skin has always been dry",phys
I lost my job and I have no savings,pract
"Sometimes, my job involves a lot of weight lifting and my back condition makes me very weak",pract
I get bored and tired very easily ,pract
I can't stand the noises my children make anymore,pract
"yes, London is a very expensive city",pract
Maybe he feels the need to give me space,family
"not so good, their scared and this stresses me out",family
It depends on her mood,family
Sometimes I can tell they are very sad,family
"Between treatment, housework and actual work I can't seem to find the time to spend with friends ",family
"I dont wanna die so soon, my daughter needs me",emotion
life doesn't motivate me anymore,emotion
"I feel powerless, the illness is getting the best of me",emotion
I am afraid to go out,emotion
I have always been a bit emotionally shy ,emotion
sometimes,spiritual
no changes ,spiritual
"no, I never regret anything",spiritual
"yes, it comes and goes in cycles",spiritual
Occasionally ,phys
Dramatic loss of weight,phys
No,phys
Yes,phys
I get shortness of breath,phys
Yes,phys
Money is tight at the moment,pract
Yes,pract
Shortness of breath after exerting myself,pract
I have a job and find it difficult to manage the caring and working ,pract
I am more concerned about the discomfort,pract
We don't take as much as we did before,family
They are supportive and encouraging,family
No ,family
Yes,family
"My friend is behaving very strangely, he is always asking me to lend him money",family
No,emotion
Because it was my fault,emotion
Yes,emotion
My children have all gone to university,emotion
No,emotion
Yes,spiritual
Yes - It has become stronger,spiritual
No,spiritual
Yes,spiritual
"Yes, especially at night",phys
Losing my hair really concerns me,phys
Sometimes lower back pain,phys
I wake up regularly in the night,phys
"It's like I can't take deep breaths, I get chest pains ",phys
Not really,phys
I can only work 2 days a week at the moment and it's really not enough,pract
Definitely. ,pract
I'm very nervous about falling while I'm home alone ,pract
"I look after my dad, but I don't have the energy whilst I'm having treatment ",pract
I can't drive at the moment but the bus stop is too far of a walk for me,pract
He's obviously upset and I can't comfort both of us,family
They have been so supportive ,family
"No, he has been amazing about it ",family
"Yes, but I think their school has been very thoughtful towards them",family
I'm scared about telling them about my diagnosis ,family
"There's so many things, I'm not sure",emotion
I can't be there for my children as much as I'd like to be,emotion
My lack of energy. I can't get anything done. ,emotion
Nobody really understands what I'm going through. ,emotion
"No, I've always found that difficult ",emotion
Definitely. How can I get through this without belief. ,spiritual
It makes me doubt. Why is this happening to me?,spiritual
Yes. ,spiritual
Sometimes.,spiritual
Weekly,phys
Skin discoloration ,phys
Rarely,phys
Somewhat ,phys
Get shortness of breath,phys
No just recently,phys
Very much,pract
Yes,pract
Hard to bend or stand for long periods of time ,pract
I have to look after my dying father,pract
Cost is the main one,pract
They wont bed with me ,family
They struggling to deal with my mood swings,family
They are trying but its hard,family
Yes they don't understand why I can't do things,family
I find it hard to stay in contact with them because I cant be out for long periods of time and can't participate in many activities ,family
"Money, partner leaving me and pain",emotion
I feel like I am a burden ,emotion
The pain ,emotion
Nobody talks to me because im a bore ,emotion
No,emotion
No,spiritual
It hasn't,spiritual
I don't regret the past I fear the future ,spiritual
Yes,spiritual
No,phys
Sometimes my face turns quite pale.,phys
"Yes, quite regularly but I haven't for a long time now",phys
Not really,phys
I sometimes find that my nostrils are blocked depending on which side I lean while I sleep. This forces me to breathe through my mouth,phys
No,phys
I think it is too expensive. Rent in London is ridiculus,pract
Yes,pract
Sometimes I don't feel I have the energy or motivation to do the housework I need to,pract
Mainly due to cost and the amount of people using it,pract
She is annoyed when I am not energetic or proactive with outdoors activities and going out,family
They are very supportive,family
She is but she could be more supportive,family
Yes,family
I don't want my children to see me like this. I feel weaker but I want to be strong for them,family
"Yes, work is making me very anxious.",emotion
Because I want to do better,emotion
My incapacity to carry out simple daily tasks.,emotion
No one else I know is going through what I'm going through,emotion
Not really,emotion
"Yes, sometimes",spiritual
I often pray to get better and I find it makes me more optimistic.,spiritual
No,spiritual
"On the contrary, I now see a higher meaning in the simple joys of life",spiritual
"Previously, yes, but now i don't",phys
I often go out with messy hair,phys
"As far as i know, nope",phys
Yes! Nightmares often come frequently,phys
Never had one at the moment,phys
"Yes, it's worsened if i don't use body cream",phys
The deposit money,pract
"No, i'm a healthy employee!",pract
"Yeah, kids keep messing around the house",pract
I have to help my grandmother take a shower everyday,pract
Yes! Oh and the congestions too,pract
Maybe she knows that the future for us is a bit dimmed now,family
They even spend half of their time in a day caring me!,family
"No, she IS my soulmate!",family
"Yes, i'm very worried about their future if i'm not around anymore",family
"Yeah, they somehow are making a distance from me",family
My project deadline?,emotion
I can't fulfill my parents' wishes,emotion
My children. Their behaviours now are out of the boundary!,emotion
"In every way, since they know I had this illness",emotion
"Not at all, i'm just to shy",emotion
Yes absolutely and of course!,spiritual
"You may find this funny, but my condition somehow strenghtens my faith!",spiritual
"No, i'd rather keeping it to myself",spiritual
"Yes, when someone betray me",spiritual
